Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
User wants to cancel and receive a refund (including due to free trial converting to paid),5,They were difficult to reach but polite once reached. Disappointing that they could not resolve the billing issue themselves.,1,Customer Support Experience,Support Processes & Friction,UX Issue,Feedback,Neutral,Disappointment,Process,Support agents lack the tools or authority to resolve billing issues directly,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,The support is terrible and didn't solve my problem.,3,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Failure to provide a solution during the support interaction,Support Interaction,Medium,Medium,Inconvenience,0.85,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),2,My problem has not been resolved and there is no further news.,7,Customer Support Experience,Support Processes & Friction,Delay,Complaint,Negative,Disappointment,Process,Lack of proactive communication and status updates,Resolution,Medium,Medium,Delay,0.9,Support & QA
Non-SUJ identified issues,1,They didn't assume the platform had crashed.,9,Technical & Playback Issues,Bugs & Technical Errors,Miscommunication,Complaint,Negative,Frustration,People,Failure of support staff to recognize or admit a platform-wide outage,Diagnosis,High,Medium,Trust Loss,0.85,Sales & Product
Playback Issues,1,"By solving the problem, you can't spend money buying a movie and not use the service because the movie can't be played. N.B.: The app must be updated, the phone must be updated, and the phone memory must be more than 150 GB free.",13,Technical & Playback Issues,Bugs & Technical Errors,Technical,Complaint,Negative,Frustration,Technical,Excessive hardware/software requirements preventing playback of purchased media,Product Usage,High,High,Financial Impact,0.9,Sales & Product
I want to ask about family plan abuse,4,I didn't like that local policy.,14,Subscriptions & Memberships,Plan Management (Family/Student),Other,Feedback,Negative,Disappointment,Policy,Customer dissatisfaction with regional or local policy restrictions,Policy Awareness,Low,Medium,Inconvenience,0.85,Sales & Product
I want to join or start a family plan,2,The service was good. Fast. But it's the company itself that disappointed me.,17,General Feedback & Brand,General Feedback,Other,Feedback,Negative,Disappointment,Policy,General dissatisfaction with company policies or brand values despite efficient service,Brand Experience,Medium,Low,Trust Loss,0.85,Policy & Brand
Non-SUJ identified issues,1,Inefficient and full of excuses when it comes to solving simple problems.,19,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Ineffective support handling and perceived lack of accountability,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Question about package/plan and how to purchase,1,I couldn't solve my problem even after following all the steps.,23,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Process,Ineffective troubleshooting documentation or guidance,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,4,"Regarding Renato's last support, 10 out of 10, as for the rest, 0 out of 10. In my technological ignorance, I had to figure out how to reach you because I didn't get a response from my first attempts. And let me tell you, these advertisements that have nothing to do with the content are very annoying. I even liked some, but they were so insistent that I didn't even want to see more details; instead of encouraging the offer, they create the opposite desire. Even so, thank you, I can now meditate in holy peace. Happy New World to you, team <3",27,Customer Support Experience,Support Processes & Friction,UX Issue,Feedback,Neutral,Satisfaction,Process,Difficulties navigating support channels and intrusive advertising frequency,Support Discovery,Low,High,Inconvenience,0.9,Support & QA
Issue with subtitles or closed captions,1,They didn't help me.,28,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Failure of the support representative to provide a resolution,Support Interaction,Medium,Medium,Inconvenience,0.85,Support & QA
I want to know the status of my transaction,2,"You are rendering them incapable of helping us, with American ways of doing things that are completely inappropriate to conventional and respectful European practices.",30,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Frustration,Policy,Support protocols perceived as culturally insensitive or overly rigid for the European market,Support Interaction,Medium,High,Trust Loss,0.9,Support & QA
Playback Issues,1,"Yes, it solved the problems.",32,Technical & Playback Issues,Playback & Streaming,Bug,Feedback,Positive,Satisfaction,Technical,Successful resolution of playback technical difficulties,Unknown,Low,Medium,Other,0.85,Sales & Product
I want to ask about family plan abuse,1,My problem was not solved,34,Account Management & Security,Plan Management (Family/Student),Other,Complaint,Negative,Frustration,Process,Ineffective support resolution for family plan inquiry,Support Interaction,Medium,High,Inconvenience,0.8,Policy & Brand
Non-SUJ identified issues,1,"If the intention were truly to help, that would be a start.",35,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Perceived lack of genuine willingness to assist the customer,Support Interaction,Medium,Unknown,Trust Loss,0.85,Support & QA
Issue with subtitles or closed captions,3,"The attendant is very attentive, but doesn't have the resources to solve the problems.",36,Technical & Playback Issues,Bugs & Technical Errors,System Failure,Feedback,Neutral,Disappointment,Technical,Agent lacks the necessary tools or system permissions to resolve technical issues,Resolution,Medium,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,3,I didn't like the support; they didn't give me a clear solution to the problem.,39,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,Process,Failure to provide a clear or actionable solution to the customer's problem,Resolution,Medium,Medium,Inconvenience,0.88,Support & QA
I want to ask about family plan abuse,1,Family plan with YouTube issues and too slow to resolve problems.,43,Subscriptions & Memberships,Plan Management (Individual),Delay,Complaint,Negative,Frustration,Process,Inefficient resolution process for family plan related issues,Support Interaction,Medium,High,Delay,0.9,Sales & Product
Non-SUJ identified issues,4,It felt like I was talking to an AI.,46,Customer Support Experience,Support Processes & Friction,UX Issue,Feedback,Negative,Disappointment,People,Support interaction perceived as robotic or lacking human empathy,Support Interaction,Low,Low,Trust Loss,0.9,Support & QA
Playback Issues,1,It didn't help me at all.,50,Technical & Playback Issues,Bugs & Technical Errors,Other,Complaint,Negative,Frustration,Process,Ineffective support resolution,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"I didn't receive help via email, but I spoke with the YouTube team on X.",52,Customer Support Experience,Support Processes & Friction,Miscommunication,Feedback,Negative,Frustration,Process,Lack of response on primary support channel,Engagement,Medium,High,Inconvenience,0.85,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,This needs a lot of improvement; it's not good at all. We pay a subscription every month to avoid having ad videos interrupting our music.,54,Subscriptions & Memberships,Premium Benefits & Access,UX Issue,Complaint,Negative,Disappointment,Product,Ads appearing on paid subscription,Usage,High,Medium,Trust Loss,0.9,Sales & Product
Playback Issues,2,no help,57,Technical & Playback Issues,Playback & Streaming,Other,Complaint,Negative,Frustration,People,Support agent failed to provide actionable assistance,Support Interaction,Medium,High,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,1,My problem was not resolved.,61,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Frustration,People,Failure of support agent or system to resolve the customer's initial problem,Support Interaction,Medium,High,Inconvenience,0.85,Support & QA
Student plan question or issue,1,The problem hasn't been resolved and I still can't renew my plan.,62,Subscriptions & Memberships,Plan Management (Individual),Bug,Complaint,Negative,Frustration,Technical,Technical barrier preventing the user from completing the renewal process,Renewal,High,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"Please modify the YouTube rule for Vue4Vue, Sub4Sub, and Google, or the YouTube built-in app Vue4Vue and Sub4Sub.",63,"Policy, Trust & Safety",Policy & Enforcement,Other,Suggestion,Neutral,Other,Policy,User disagreement with platform rules regarding third-party engagement apps,Product Usage,Low,Low,Other,0.8,Policy & Brand
Non-SUJ identified issues,4,I think my problem wasn't fully understood.,65,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to accurately diagnose or acknowledge the customer's specific issue,Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,3,"My access problem, even though I'm part of the family group, has still not been resolved.",67,Subscriptions & Memberships,Plan Management (Family/Student),Bug,Complaint,Negative,Disappointment,Technical,Persistent technical failure in synchronizing family group membership with service access,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Form of payment question or issue,1,"I haven't been able to resolve the problem. I still haven't been able to renew my subscription, and I don't even know what the code sent means.",68,"Billing, Payments & Sales",Billing & Payment Issues,UX Issue,Complaint,Negative,Confusion,Technical,Cryptic error codes and lack of clear guidance during the payment renewal process,Resolution,High,High,Inconvenience,0.9,Sales & Product
Form of payment question or issue,5,Very good,71,"Billing, Payments & Sales",Plan Management (Individual),Other,Feedback,Positive,Satisfaction,Unknown,Unknown,Unknown,Low,Low,Unknown,0.85,Sales & Product
I want to ask about family plan abuse,1,I open the link and there's nothing there about the form you said to fill out and solve the problem.,73,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Complaint,Negative,Confusion,Process,Broken or incorrect link provided during support journey for problem resolution,Support,Medium,Medium,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,2,"Delayed, inflexible, and clueless feedback.",74,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Anger,People,Ineffective and delayed communication from support staff,Support,Medium,Medium,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,2,Frustrating experience. Little interest in resolving the problem.,78,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Perceived lack of agent interest in problem resolution,Support Interaction,Medium,Medium,Inconvenience,0.88,Support & QA
I want to ask about family plan abuse,1,No one has contacted me and my problem remains unresolved.,83,Customer Support Experience,Support Processes & Friction,Delay,Complaint,Negative,Frustration,Process,Failure to initiate contact or provide updates on an open issue,Support Response,Medium,High,Delay,0.9,Support & QA
I want to join or start a family plan,1,"There is no solution, it is sad, it is sad",85,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Process,Inability to provide a resolution for the user's specific journey,Resolution,High,High,Inconvenience,0.9,Sales & Product
Question about package/plan and how to purchase,1,Quick and easy,88,"Billing, Payments & Sales",Plan Management (Individual),Other,Feedback,Positive,Satisfaction,Product,Efficient and streamlined purchase flow,N/A,Low,Low,Other,0.85,Sales & Product
Student plan question or issue,1,Super fast and friendly service.,91,Subscriptions & Memberships,Plan Management (Individual),Other,Feedback,Positive,Satisfaction,People,Efficient and friendly agent interaction,Support Interaction,Low,Low,Other,0.9,Sales & Product
I want to ask about family plan abuse,5,Partially satisfied.,96,Subscriptions & Memberships,Policy & Enforcement,Other,Feedback,Neutral,Other,Unknown,Unknown,Unknown,Low,Unknown,Unknown,0.7,Sales & Product
I want to ask about family plan abuse,3,"First of all, I would like to say that my assessment does not concern a specific person (in this case, Tatyana). I assessed the support service specifically as a general mechanism...",99,Customer Support Experience,Support Processes & Friction,Other,Feedback,Neutral,Other,Process,General dissatisfaction with support infrastructure rather than individual agents,Support,Medium,Medium,Inconvenience,0.9,Support & QA
Question about package/plan and how to purchase,3,It seems like I've encountered a unique problem that you guys don't know how to solve.,100,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,People,Support team inability to resolve complex or unique technical issues,Support Resolution,Medium,High,Inconvenience,0.9,Sales & Product
I want to know the status of my transaction,3,"The support team is great, pretending to genuinely want to help, but ultimately they can't help. I have to spend a ton of time figuring out what needs to be done and how to finally get YouTube Premium working!!! Otherwise, everything is fine!",103,Account Management & Security,Account Access & Recovery,UX Issue,Complaint,Negative,Frustration,Technical,Ineffective support workflows for resolving service activation hurdles,Post-Purchase,High,High,Inconvenience,0.88,Policy & Brand
Issue with subtitles or closed captions,2,The problem is still unsolved. It's unfortunate.,108,Technical & Playback Issues,Bugs & Technical Errors,Bug,Complaint,Negative,Disappointment,Technical,Unresolved technical defect in subtitle functionality,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
I want to ask about family plan abuse,1,They didn't give us any clear information on how to fix our problem.,109,Subscriptions & Memberships,Policy & Enforcement,Miscommunication,Complaint,Negative,Frustration,People,Failure to provide clear instructions or actionable information,Support Interaction,High,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,They didn't solve my problem…,116,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,Process,Failure to resolve the customer's underlying problem during the support interaction,Support Interaction,Medium,High,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,3,"The service was quick and good, but it didn't solve the problem, despite the refund.",117,Customer Support Experience,Support Experience Feedback,Other,Feedback,Neutral,Disappointment,Process,Support provided a financial remedy (refund) without addressing the functional issue,Support Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
